trialnum	subject	session	basicShape	numObjects	speed	initialDirRing0	orderCorrect	trialDurTotal	numTargets	whichIsTargetEachRing0	whichIsTargetEachRing1	whichIsTargetEachRing2	ringToQuery	direction0	direction1	direction2	respAdj0	respAdj1	respAdj2	rev0_0	rev0_1	rev0_2	rev0_3	rev0_4	rev0_5	rev0_6	rev0_7	rev0_8	rev1_0	rev1_1	rev1_2	rev1_3	rev1_4	rev1_5	rev1_6	rev1_7	rev1_8	rev2_0	rev2_1	rev2_2	rev2_3	rev2_4	rev2_5	rev2_6	rev2_7	rev2_8	timingBlips
34	tem	a	circle	4	0.35484375000000057	1	123	0 	 4.949196831962137 	 2 	 2.0	-999.0	1.0	2	1	-1	-1	-999	-999	-1.0	2.4761 	4.0377 	4.5804 	5.8841 	-999	-999	-999	-999	-999	2.3254 	2.9231 	4.8651 	6.2872 	-999	-999	-999	-999	-999	3.0079 	4.6632 	5.2197 	7.1819 	-999	-999	-999	-999	-999	2
35	tem	a	circle	4	0.05484375000000341	-1	97	3 	 5.568155959126429 	 2 	 2.0	0.0	3.0	1	-1	1	-1	-999	-0.0	-999	1.9515 	3.3071 	5.1011 	7.0455 	-999	-999	-999	-999	-999	1.9314 	3.487 	5.3553 	7.3459 	-999	-999	-999	-999	-999	1.7095 	2.487 	3.437 	4.7673 	6.307 	-999	-999	-999	-999	8
36	tem	a	circle	4	0.1	1	92	3 	 4.667269360990531 	 2 	 0.0	2.0	2.0	2	1	-1	-1	-999	-999	-0.0	2.3604 	3.872 	4.8298 	5.4005 	-999	-999	-999	-999	-999	2.8743 	3.9991 	5.6155 	-999	-999	-999	-999	-999	-999	2.6637 	3.429 	5.1977 	-999	-999	-999	-999	-999	-999	4
37	tem	a	circle	8	0.030000000000001137	-1	88	3 	 4.01821519805441 	 3 	 4.0	6.0	2.0	0	-1	1	-1	-0.0	-999	-999	2.5856 	3.1809 	4.4125 	-999	-999	-999	-999	-999	-999	1.873 	3.144 	4.5305 	-999	-999	-999	-999	-999	-999	2.7354 	4.2229 	6.156 	-999	-999	-999	-999	-999	-999	2
38	tem	a	circle	4	0.4548437499999949	-1	127	3 	 3.926759261249954 	 3 	 2.0	0.0	3.0	0	-1	1	-1	-0.0	-999	-999	2.1682 	3.2828 	4.527 	-999	-999	-999	-999	-999	-999	3.024 	3.6497 	4.6286 	-999	-999	-999	-999	-999	-999	2.594 	4.2998 	-999	-999	-999	-999	-999	-999	-999	1
39	tem	a	circle	8	0.25484374999999204	1	111	0 	 4.930818484541892 	 2 	 4.0	1.0	3.0	0	1	-1	-1	-1.0	-999	-999	1.7104 	2.34 	2.9814 	3.9829 	5.6455 	-999	-999	-999	-999	2.0498 	3.9567 	5.5235 	-999	-999	-999	-999	-999	-999	2.1321 	4.0067 	5.8801 	-999	-999	-999	-999	-999	-999	5
40	tem	a	circle	4	0.05484375000000341	1	95	3 	 3.460614538487415 	 2 	 0.0	0.0	0.0	2	1	-1	-1	-999	-999	-0.0	2.1363 	2.6404 	3.651 	4.3622 	-999	-999	-999	-999	-999	2.2791 	2.8213 	4.4924 	-999	-999	-999	-999	-999	-999	2.4516 	3.552 	4.7616 	-999	-999	-999	-999	-999	-999	2
41	tem	a	circle	8	0.030000000000001137	-1	106	0 	 5.038151442991211 	 3 	 6.0	0.0	7.0	1	-1	1	-1	-999	1.0	-999	1.7725 	2.7857 	4.7005 	5.2158 	7.1217 	-999	-999	-999	-999	2.6019 	4.2275 	4.9803 	6.7907 	-999	-999	-999	-999	-999	2.0349 	3.8434 	4.7124 	5.484 	-999	-999	-999	-999	-999	10
42	tem	a	circle	8	0.030000000000001137	-1	95	3 	 4.472887221690056 	 3 	 0.0	0.0	3.0	2	-1	1	-1	-999	-999	-0.0	2.6203 	3.2744 	4.0434 	5.233 	-999	-999	-999	-999	-999	2.2973 	3.3464 	4.282 	5.3827 	-999	-999	-999	-999	-999	2.4959 	3.4531 	5.1085 	-999	-999	-999	-999	-999	-999	2
43	tem	a	circle	8	0.030000000000001137	-1	89	3 	 4.683168389376735 	 3 	 2.0	5.0	7.0	2	-1	1	-1	-999	-999	0.0	2.0723 	3.256 	4.4437 	5.6799 	-999	-999	-999	-999	-999	1.7707 	3.2339 	5.0737 	-999	-999	-999	-999	-999	-999	1.9534 	2.7834 	3.965 	5.6638 	-999	-999	-999	-999	-999	1
44	tem	a	circle	4	0.05484375000000341	-1	127	3 	 3.640544049911038 	 2 	 2.0	0.0	2.0	2	-1	1	-1	-999	-999	0.0	3.1553 	4.4191 	-999	-999	-999	-999	-999	-999	-999	2.8468 	3.6644 	5.0896 	-999	-999	-999	-999	-999	-999	1.9513 	3.1034 	3.6102 	5.0369 	-999	-999	-999	-999	-999	2
45	tem	a	circle	8	0.15484374999999773	-1	108	3 	 5.229743413294823 	 2 	 5.0	-999.0	3.0	0	-1	1	-1	0.0	-999	-999	2.1893 	3.8334 	5.2453 	7.0457 	-999	-999	-999	-999	-999	2.0164 	2.6834 	3.2246 	4.2395 	6.1769 	-999	-999	-999	-999	2.2941 	3.0632 	5.046 	6.8574 	-999	-999	-999	-999	-999	7
46	tem	a	circle	8	0.15484374999999773	-1	94	3 	 4.094097226959555 	 2 	 2.0	1.0	1.0	2	-1	1	-1	-999	-999	0.0	2.3485 	3.3999 	4.1844 	5.1767 	-999	-999	-999	-999	-999	1.837 	3.458 	4.3357 	6.2178 	-999	-999	-999	-999	-999	2.1189 	3.4575 	3.9811 	4.5443 	-999	-999	-999	-999	-999	3
47	tem	a	circle	4	0.4548437499999949	-1	128	0 	 4.779130822536019 	 3 	 1.0	3.0	2.0	1	-1	1	-1	-999	1.0	-999	1.937 	2.671 	4.4578 	5.3145 	-999	-999	-999	-999	-999	2.2483 	3.5175 	4.5256 	5.3825 	-999	-999	-999	-999	-999	2.2886 	3.5746 	5.1639 	-999	-999	-999	-999	-999	-999	1
48	tem	a	circle	4	0.1	1	105	3 	 5.246300963067909 	 3 	 3.0	0.0	2.0	1	1	-1	-1	-999	0.0	-999	3.1959 	4.976 	6.3906 	-999	-999	-999	-999	-999	-999	2.7876 	4.3625 	5.0711 	6.5263 	-999	-999	-999	-999	-999	2.7655 	3.8774 	5.0138 	6.703 	-999	-999	-999	-999	-999	1
49	tem	a	circle	4	0.25484374999999204	1	103	3 	 3.7071311566673835 	 3 	 2.0	3.0	1.0	0	1	-1	-1	-0.0	-999	-999	2.439 	3.9115 	4.6712 	-999	-999	-999	-999	-999	-999	3.1209 	4.1238 	-999	-999	-999	-999	-999	-999	-999	3.0558 	4.6505 	-999	-999	-999	-999	-999	-999	-999	1
50	tem	a	circle	8	0.030000000000001137	1	104	3 	 5.496165011881457 	 3 	 3.0	0.0	6.0	1	1	-1	-1	-999	-0.0	-999	2.5724 	3.7675 	5.2027 	5.822 	-999	-999	-999	-999	-999	3.0541 	3.8433 	5.7019 	6.2223 	-999	-999	-999	-999	-999	2.7549 	4.0408 	5.7407 	7.2952 	-999	-999	-999	-999	-999	4
51	tem	a	circle	8	0.15484374999999773	1	115	3 	 4.107495726940072 	 2 	 0.0	-999.0	3.0	2	1	-1	-1	-999	-999	0.0	2.9834 	4.5931 	-999	-999	-999	-999	-999	-999	-999	2.6745 	3.4294 	4.5033 	-999	-999	-999	-999	-999	-999	2.0784 	3.1684 	3.9017 	4.7619 	-999	-999	-999	-999	-999	7
52	tem	a	circle	8	0.02	-1	107	3 	 5.382510482058547 	 3 	 2.0	6.0	3.0	0	-1	1	-1	0.0	-999	-999	2.4597 	3.5175 	4.5831 	6.0052 	-999	-999	-999	-999	-999	3.089 	4.34 	5.8082 	-999	-999	-999	-999	-999	-999	3.039 	3.9956 	5.8541 	-999	-999	-999	-999	-999	-999	6
53	tem	a	circle	8	0.20484374999999488	1	92	0 	 3.802497126828734 	 2 	 1.0	5.0	1.0	1	1	-1	-1	-999	-3.0	-999	2.7522 	3.9809 	5.3131 	-999	-999	-999	-999	-999	-999	2.4409 	3.2369 	4.0421 	5.3402 	-999	-999	-999	-999	-999	3.1849 	4.3818 	-999	-999	-999	-999	-999	-999	-999	2
54	tem	a	circle	8	0.12999999999999545	1	97	3 	 3.8226274503332873 	 3 	 3.0	7.0	0.0	1	1	-1	-1	-999	0.0	-999	2.6779 	3.4947 	4.2524 	-999	-999	-999	-999	-999	-999	2.6275 	4.1397 	-999	-999	-999	-999	-999	-999	-999	2.4518 	4.2148 	-999	-999	-999	-999	-999	-999	-999	2
55	tem	a	circle	8	0.12999999999999545	-1	87	3 	 5.106144514564544 	 3 	 2.0	7.0	7.0	0	-1	1	-1	-0.0	-999	-999	2.0719 	3.8673 	5.8485 	-999	-999	-999	-999	-999	-999	3.0966 	4.5558 	6.0026 	-999	-999	-999	-999	-999	-999	2.2815 	4.1462 	5.2523 	6.6028 	-999	-999	-999	-999	-999	7
56	tem	a	circle	4	0.1	1	83	3 	 4.72153851829232 	 2 	 3.0	2.0	2.0	1	1	-1	-1	-999	0.0	-999	3.185 	4.7627 	6.145 	-999	-999	-999	-999	-999	-999	2.7597 	3.885 	4.6589 	5.9663 	-999	-999	-999	-999	-999	1.8655 	2.967 	3.8027 	5.4538 	-999	-999	-999	-999	-999	1
57	tem	a	circle	4	0.25484374999999204	-1	81	3 	 4.223584566926318 	 3 	 0.0	2.0	1.0	2	-1	1	-1	-999	-999	0.0	2.4274 	3.3125 	3.9373 	4.5423 	-999	-999	-999	-999	-999	1.7257 	2.7359 	4.4002 	5.7629 	-999	-999	-999	-999	-999	2.9208 	4.845 	-999	-999	-999	-999	-999	-999	-999	11
58	tem	a	circle	4	0.25484374999999204	-1	129	3 	 4.515241359000865 	 3 	 0.0	0.0	2.0	0	-1	1	-1	-0.0	-999	-999	3.1526 	4.0316 	5.6128 	-999	-999	-999	-999	-999	-999	2.509 	3.9194 	4.594 	5.5199 	-999	-999	-999	-999	-999	2.0424 	2.8232 	3.4866 	5.3802 	-999	-999	-999	-999	-999	3
59	tem	a	circle	4	0.35484374999998636	1	88	3 	 3.9773909634478066 	 3 	 3.0	2.0	1.0	2	1	-1	-1	-999	-999	0.0	2.2473 	3.7502 	4.9163 	-999	-999	-999	-999	-999	-999	2.913 	4.8922 	-999	-999	-999	-999	-999	-999	-999	2.211 	2.9762 	3.6302 	5.5361 	-999	-999	-999	-999	-999	2
60	tem	a	circle	8	0.15484374999999773	-1	94	3 	 4.505471315276317 	 2 	 5.0	1.0	5.0	1	-1	1	-1	-999	0.0	-999	1.8004 	2.5803 	4.0036 	5.9752 	-999	-999	-999	-999	-999	2.766 	4.6353 	5.1838 	-999	-999	-999	-999	-999	-999	2.2034 	3.5883 	5.3956 	-999	-999	-999	-999	-999	-999	6
61	tem	a	circle	8	0.12999999999999545	1	86	0 	 5.076801007136128 	 3 	 0.0	4.0	6.0	2	1	-1	-1	-999	-999	3.0	3.1542 	4.8976 	6.678 	-999	-999	-999	-999	-999	-999	3.1068 	4.0483 	4.9545 	5.7993 	-999	-999	-999	-999	-999	3.1465 	3.9173 	5.1119 	6.1439 	-999	-999	-999	-999	-999	1
62	tem	a	circle	4	0.35484374999998636	1	99	3 	 4.517635367474481 	 3 	 3.0	2.0	1.0	1	1	-1	-1	-999	-0.0	-999	3.1974 	4.3638 	6.2496 	-999	-999	-999	-999	-999	-999	1.9021 	3.8913 	5.6894 	-999	-999	-999	-999	-999	-999	2.2519 	4.0468 	5.6792 	-999	-999	-999	-999	-999	-999	1
63	tem	a	circle	4	0.35484374999998636	-1	91	0 	 3.2973307231958224 	 3 	 1.0	0.0	2.0	2	-1	1	-1	-999	-999	-1.0	2.5519 	3.3123 	4.9919 	-999	-999	-999	-999	-999	-999	1.737 	2.7701 	4.1339 	-999	-999	-999	-999	-999	-999	3.0175 	4.9478 	-999	-999	-999	-999	-999	-999	-999	1
