trialnum	session	basicShape	numObjects	speed	initialDirRing0	fixatnPeriodFrames	orderCorrect	trialDurTotal	numTargets	offset	whichIsTargetEachRing0	ringToQuery	direction0	respAdj0	rev0_0	rev0_1	rev0_2	rev0_3	rev0_4	rev0_5	rev0_6	rev0_7	rev0_8	timingBlips	numLongFramesAfterFixation	numLongFramesAfterCue	IDnum	sessionNum	comment	pTrialsLotsTimingBlips	pTrialsBlipsAfterFixatn	pTrialsLongFramesAfterCue	EDFmatchExists
59	1	ellipse	6	0.461111111111137	-1	84	3	3.948724866604215	1	[10,	0]	3	0	-1	-0	2.8695	3.7904	4.2985	-999	-999	-999	-999	-999	-999	1	1	03	1	None	0	0.09375	0.0625	TRUE
60	1	ellipse	6	0.461111111111137	-1	80	3	4.678359327941888	1	[-10,	0]	1	0	-1	-0	2.3818	3.6855	5.4843	-999	-999	-999	-999	-999	-999	1	1	03	1	None	0	0.09375	0.0625	TRUE
61	1	ellipse	4	0.76111111111112	1	92	3	5.472319181029532	1	[10,	0]	3	0	1	-0	1.876	3.8154	5.3279	7.0516	-999	-999	-999	-999	-999	0	0	03	1	None	0	0.09375	0.0625	TRUE
62	1	ellipse	4	0.76111111111112	1	95	3	4.031361445915097	1	[10,	0]	0	0	1	0	2.3585	3.183	4.6599	-999	-999	-999	-999	-999	-999	0	0	03	1	None	0	0.09375	0.0625	TRUE
63	1	ellipse	4	0.76111111111112	1	96	3	4.431916609043318	1	[10,	0]	3	0	1	0	2.6584	3.7019	5.6206	-999	-999	-999	-999	-999	-999	0	0	03	1	None	0	0.09375	0.0625	TRUE
64	1	ellipse	6	0.5111111111111342	1	76	3	3.7083181300461217	1	[-10,	0]	2	0	1	0	2.1624	3.476	4.9344	-999	-999	-999	-999	-999	-999	1	1	03	1	None	0	0.09375	0.0625	TRUE
65	1	ellipse	6	0.5111111111111342	1	103	3	3.6318609351347018	1	[-10,	0]	3	0	1	0	2.365	3.4608	4.798	-999	-999	-999	-999	-999	-999	0	0	03	1	None	0	0.09375	0.0625	TRUE
66	1	ellipse	4	0.02	-1	79	3	4.850599187751511	1	[-10,	0]	0	0	-1	0	2.2054	2.8928	4.5723	6.279	-999	-999	-999	-999	-999	0	0	03	1	None	0	0.09375	0.0625	TRUE
67	1	ellipse	4	0.8111111111111171	1	88	3	5.352018097394044	1	[10,	0]	2	0	1	0	2.8457	4.1464	5.5687	6.7411	-999	-999	-999	-999	-999	0	0	03	1	None	0	0.09375	0.0625	TRUE
68	1	ellipse	4	0.8111111111111171	-1	92	3	4.165882007571737	1	[-10,	0]	0	0	-1	0	2.967	4.422	5.4237	-999	-999	-999	-999	-999	-999	0	0	03	1	None	0	0.09375	0.0625	TRUE
69	1	ellipse	6	0.1	-1	110	3	3.297133140902064	1	[-10,	0]	5	0	-1	-0	1.9695	3.3113	4.2036	-999	-999	-999	-999	-999	-999	1	0	03	1	None	0	0.09375	0.0625	TRUE
70	1	ellipse	6	0.5111111111111342	1	90	3	5.167813022860583	1	[-10,	0]	2	0	1	0	2.7755	3.9512	5.4998	-999	-999	-999	-999	-999	-999	0	0	03	1	None	0	0.09375	0.0625	TRUE
71	1	ellipse	4	0.8111111111111171	1	72	3	5.121301056397609	1	[-10,	0]	1	0	1	-0	2.3121	3.2587	4.9574	6.7897	-999	-999	-999	-999	-999	0	0	03	1	None	0	0.09375	0.0625	TRUE
72	1	ellipse	4	0.8611111111111143	-1	87	3	5.447604570858774	1	[-10,	0]	1	0	-1	0	2.5862	3.3892	4.6641	5.9678	-999	-999	-999	-999	-999	0	0	03	1	None	0	0.09375	0.0625	TRUE
73	1	ellipse	6	0.5611111111111313	-1	80	3	4.392028255619204	1	[10,	0]	1	0	-1	-0	2.2647	4.1673	4.7778	-999	-999	-999	-999	-999	-999	0	0	03	1	None	0	0.09375	0.0625	TRUE
74	1	ellipse	4	0.8611111111111143	1	97	3	3.308087475827174	1	[-10,	0]	3	0	1	-0	2.6871	4.0581	-999	-999	-999	-999	-999	-999	-999	0	0	03	1	None	0	0.09375	0.0625	TRUE
75	1	ellipse	4	0.1	1	88	3	5.549858747162371	1	[10,	0]	3	0	1	0	2.8005	4.6074	5.7495	7.2431	-999	-999	-999	-999	-999	0	0	03	1	None	0	0.09375	0.0625	TRUE
76	1	ellipse	6	0.1	1	70	3	5.147727602728346	1	[10,	0]	0	0	1	0	2.6703	3.2826	4.4506	4.9904	6.1369	-999	-999	-999	-999	1	0	03	1	None	0	0.09375	0.0625	TRUE
77	1	ellipse	4	0.8611111111111143	-1	88	3	4.949958146766585	1	[10,	0]	0	0	-1	-0	2.7277	4.5961	5.8176	-999	-999	-999	-999	-999	-999	0	0	03	1	None	0	0.09375	0.0625	TRUE
