TrialNumber	basicShape	numObjectsInRing	speed	initialDirRing0	numTargets	whichIsTargetEachRing	ringToQuery	ran	order	speedThisTrial	orderCorrect	correctForFeedback
233	circle	8	staircase	-1	3	[7. 2. 0.]	1	1.0	232.0	0.19570312500002274	3.0	1.0
234	circle	4	[0.02, 0.1]	-1	3	[0. 2. 3.]	2	1.0	233.0	0.1	3.0	1.0
235	circle	8	staircase	-1	2	[3. 4. 7.]	2	1.0	234.0	0.3457031250000142	3.0	1.0
236	circle	8	staircase	1	3	[4. 5. 1.]	2	1.0	235.0	0.19570312500002274	3.0	1.0
237	circle	8	staircase	-1	3	[3. 3. 1.]	1	1.0	236.0	0.19570312500002274	3.0	1.0
238	circle	4	staircase	-1	2	[2. 0. 1.]	2	1.0	237.0	1.0000000000000142	3.0	1.0
239	circle	8	staircase	1	2	[0. 6. 1.]	0	1.0	238.0	0.39570312500001137	3.0	1.0
240	circle	4	staircase	-1	2	[3. 2. 2.]	1	1.0	239.0	1.0500000000000114	3.0	1.0
241	circle	4	staircase	-1	3	[3. 1. 3.]	2	1.0	240.0	0.44570312500002274	3.0	1.0
242	circle	8	[0.02, 0.1]	-1	3	[1. 6. 1.]	1	1.0	241.0	0.02	3.0	1.0
243	circle	4	staircase	1	3	[3. 1. 3.]	2	1.0	242.0	0.4957031250000199	3.0	1.0
244	circle	8	[0.02, 0.1]	1	2	[5. 7. 6.]	2	1.0	243.0	0.02	3.0	1.0
245	circle	4	staircase	-1	2	[0. 3. 0.]	0	1.0	244.0	1.0500000000000114	0.0	0.0
246	circle	4	staircase	-1	3	[3. 0. 1.]	0	1.0	245.0	0.4957031250000199	3.0	1.0
247	circle	4	staircase	1	2	[2. 0. 1.]	2	1.0	246.0	1.0000000000000142	0.0	0.0
248	circle	8	[0.02, 0.1]	1	3	[1. 6. 1.]	1	1.0	247.0	0.02	3.0	1.0
249	circle	4	[0.02, 0.1]	-1	2	[3. 1. 2.]	2	1.0	248.0	0.1	3.0	1.0
250	circle	8	staircase	-1	2	[4. 4. 7.]	2	1.0	249.0	0.39570312500001137	3.0	1.0
251	circle	8	staircase	1	3	[3. 3. 1.]	0	1.0	250.0	0.2457031250000199	3.0	1.0
252	circle	8	staircase	1	3	[7. 2. 0.]	2	1.0	251.0	0.2457031250000199	3.0	1.0
253	circle	8	staircase	1	2	[3. 4. 7.]	1	1.0	252.0	0.39570312500001137	3.0	1.0
254	circle	4	staircase	1	2	[0. 3. 0.]	1	1.0	253.0	0.950000000000017	3.0	1.0
255	circle	4	staircase	1	3	[3. 0. 1.]	1	1.0	254.0	0.4957031250000199	3.0	1.0
256	circle	4	[0.02, 0.1]	1	2	[3. 1. 2.]	2	1.0	255.0	0.1	3.0	1.0
