comment	nrows	pTrialsLotsTimingBlips	pTrialsBlipsAfterFixatn	pTrialsLongFramesAfterCue	session	IDvalid	IDnum	EDFmatchExists	EDF_name	EDF_suffix	noSessionID	sessionNum
None	120	0.025	NA	NA	2	TRUE	38	TRUE	S382	EDF	FALSE	2
None	120	0.016666666666666666	NA	NA	3	TRUE	38	TRUE	S383	EDF	FALSE	3
None	120	0.1	NA	NA	1	TRUE	39	TRUE	S391	EDF	FALSE	1
None	120	0	NA	NA	2	TRUE	39	TRUE	S392	EDF	FALSE	2
None	120	0.125	NA	NA	3	TRUE	39	TRUE	S393	EDF	FALSE	3
None	120	0.08333333333333333	NA	NA	1	TRUE	45	TRUE	S451	EDF	FALSE	1
None	120	0.175	NA	NA	2	TRUE	45	TRUE	S452	EDF	FALSE	2
None	120	0.08333333333333333	NA	NA	3	TRUE	45	TRUE	S453	EDF	FALSE	3
None	120	0.15833333333333333	NA	NA	1	TRUE	41	TRUE	T411	EDF	FALSE	1
None	120	0.125	NA	NA	2	TRUE	41	TRUE	T412	EDF	FALSE	2
None	120	0.14166666666666666	NA	NA	3	TRUE	41	TRUE	T413	EDF	FALSE	3
None	120	0.06666666666666667	0	0	a	TRUE	52	FALSE	NA	NA	NA	1
None	120	0.175	0	0	b	TRUE	52	FALSE	NA	NA	NA	2
None	120	0.1	0	0	c	TRUE	52	FALSE	NA	NA	NA	3
None	120	0.20833333333333334	NA	NA	1	TRUE	48	TRUE	Y481	EDF	FALSE	1
None	120	0.225	NA	NA	2	TRUE	48	TRUE	Y482	EDF	FALSE	2
None	120	0.20833333333333334	NA	NA	3	TRUE	48	TRUE	Y483	EDF	FALSE	3
