comment	nrows	pTrialsLotsTimingBlips	pTrialsBlipsAfterFixatn	pTrialsBlipsAfterCue	pTrialsLotsAfterCue	ID.x	IDnum	session	IDvalid	firstLetter	EDFmatchExists	EDF_name	EDF_suffix	file_size	ID.y	noSessionID	sessionNum	EDFreadError
None	120	0.10833333333333334	0	0	0	K86	86	a	TRUE	K	TRUE	K86a	EDF	2954912	86	FALSE	1	FALSE
None	120	0.041666666666666664	0	0	0	K86	86	b	TRUE	K	TRUE	K86b	EDF	3000521	86	FALSE	2	FALSE
None	120	0.008333333333333333	0.008333333333333333	0	0	K86	86	c	TRUE	K	TRUE	K86c	EDF	2975624	86	FALSE	3	TRUE
None	120	0.19166666666666668	NA	NA	NA	L35	35	1	TRUE	L	TRUE	L351	EDF	11237852	35	FALSE	1	FALSE
None	120	0.125	NA	NA	NA	L35	35	2	TRUE	L	TRUE	L352	EDF	11086052	35	FALSE	2	FALSE
None	120	0.15	NA	NA	NA	L35	35	3	TRUE	L	TRUE	L353	EDF	11343432	35	FALSE	3	FALSE
None	120	0.15	0.008333333333333333	0	0	L70	70	a	TRUE	L	TRUE	L70a	EDF	11277339	70	FALSE	1	FALSE
None	120	0.08333333333333333	0	0	0	L70	70	b	TRUE	L	TRUE	L70b	EDF	11469523	70	FALSE	2	FALSE
None	120	0.058333333333333334	0.016666666666666666	0.016666666666666666	0	L70	70	c	TRUE	L	TRUE	L70c	EDF	11494822	70	FALSE	3	FALSE
None	120	0.15	0	0	0	L72	72	a	TRUE	L	TRUE	L72a	EDF	11408314	72	FALSE	1	FALSE
None	120	0.08333333333333333	0.008333333333333333	0.008333333333333333	0	L72	72	b	TRUE	L	TRUE	L72b	EDF	11458494	72	FALSE	2	FALSE
None	120	0.058333333333333334	0	0	0	L72	72	c	TRUE	L	TRUE	L72c	EDF	11362829	72	FALSE	3	TRUE
None	120	0.05	0	0	0	L81	81	a	TRUE	L	TRUE	L81a	EDF	2986596	81	FALSE	1	FALSE
None	120	0.016666666666666666	0	0	0	L81	81	b	TRUE	L	TRUE	L81b	EDF	2959268	81	FALSE	2	FALSE
None	120	0.008333333333333333	0.008333333333333333	0.008333333333333333	0	L81	81	c	TRUE	L	TRUE	L81c	EDF	3074021	81	FALSE	3	TRUE
None	120	0.1	0.008333333333333333	0	0	L84	84	a	TRUE	L	TRUE	L84a	EDF	3047084	84	FALSE	1	FALSE
None	120	0.05	0	0	0	L84	84	b	TRUE	L	TRUE	L84b	EDF	3052347	84	FALSE	2	FALSE
None	120	0.008333333333333333	0.016666666666666666	0	0	L84	84	c	TRUE	L	TRUE	L84c	EDF	3068723	84	FALSE	3	TRUE
skipped practice trial, because practice.py was not able to open at this time. Did visual acuity and intelligence firsts before doing any trials.	120	0.25833333333333336	NA	NA	NA	M32	32	1	TRUE	M	TRUE	M321	EDF	11376719	32	FALSE	1	FALSE
skipped practice trial, because practice.py was not able to open at this time. Did visual acuity and intelligence firsts before doing any trials.	120	0.15833333333333333	NA	NA	NA	M32	32	2	TRUE	M	TRUE	M322	EDF	11302425	32	FALSE	2	FALSE
skipped practice trial, because practice.py was not able to open at this time. Did visual acuity and intelligence firsts before doing any trials.	120	0.16666666666666666	NA	NA	NA	M32	32	3	TRUE	M	TRUE	M323	EDF	11407360	32	FALSE	3	TRUE
None	120	0.20833333333333334	NA	NA	NA	M43	43	1	TRUE	M	TRUE	M431	EDF	11070084	43	FALSE	1	FALSE
None	120	0.23333333333333334	NA	NA	NA	M43	43	2	TRUE	M	TRUE	M432	EDF	11370029	43	FALSE	2	FALSE
None	120	0.2	NA	NA	NA	M43	43	3	TRUE	M	TRUE	M433	EDF	11214814	43	FALSE	3	FALSE
None	120	0.21666666666666667	NA	NA	NA	M47	47	1	TRUE	M	TRUE	M471	EDF	11385728	47	FALSE	1	FALSE
